resp_id,age,gender,educ,hhincome,empl_pre,empl_now,jobcat_pre,jobcat_now,wfh_pre,wfh_pre_freq,wfh_now,wfh_now_days,wfh_expect,wfh_freq_exp,pre_work_com_days,pre_work_pri_mode,pre_work_pri_time,pre_work_com_dist,prod_change,prod_decr_reason_4,prod_decr_reason_5,prod_decr_reason_9,prod_incr_reason_1,prod_incr_reason_3,tr_freq_pre_privateveh,tr_freq_pre_ridehail,tr_freq_pre_transit,tr_freq_pre_bikepers,tr_freq_pre_bikeshared,tr_freq_pre_walk,tr_freq_now_privateveh,tr_freq_now_ridehail,tr_freq_now_transit,tr_freq_now_bikepers,tr_freq_now_bikeshared,tr_freq_now_walk,tr_freq_exp_privateveh,tr_freq_exp_ridehail,tr_freq_exp_transit,tr_freq_exp_bikepers,tr_freq_exp_bikeshared,tr_freq_exp_walk,decrease_transit_1,decrease_transit_2,decrease_transit_3,increase_bike_1,increase_bike_2,increase_bike_3,driver,bike,weight,age_group,income_bracket,educ_simple,wfh_pre_freq_num,wfh_freq_exp_num,prod_change_num,jobcat_pre_simple
1201,29,Male,Bachelor's degree(s) or some graduate school,"$100,000 to $124,999",Employed full time,"No, I'm not employed","Professional, managerial, or technical",,Yes,A few times/month,,,Yes,A few times/month,5.0,Transit,45.0,5.0,,,,,,,3.0,0.5,3.0,0.0,0.1,3.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,-1.0,-1.0,1.0,1.0,1.0,Not selected,I changed jobs and no longer can commute via transit,I no longer feel comfortable sharing space with strangers,Not selected,Not selected,Not selected,Yes,No,1.5684939166799998,18–29,$75k–$124k,Bachelor's,0.5,0.5,,Professional/Manager
1228,28,Female,Completed graduate degree(s),"$125,000 to $149,999",Employed full time,"Yes, working full-time","Professional, managerial, or technical",,Yes,Once/week,Yes,5.0,Yes,Once/week,4.0,Transit,50.0,12.0,About the same,,,,,,5.0,0.1,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,1.0,,,,,,,Yes,No,0.38955791,18–29,$125k+,Graduate degree,1.0,1.0,0.0,Professional/Manager
1230,36,Male,Some college or technical school,"$50,000 to $74,999",Employed full time,"Yes, working full-time",Something else,,No,,No,,No,,5.0,Private vehicle,35.0,35.0,About the same,,,,,,5.0,0.0,0.0,0.0,0.0,0.5,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,Yes,1.935638178,30–44,$35k–$74k,Some college,,,0.0,
1231,33,Female,Bachelor's degree(s) or some graduate school,"$35,000 to $49,999",Employed full time,"Yes, working full-time",Manufacturing or construction,,No,,Yes,2.0,No,,5.0,Private vehicle,30.0,30.0,About the same,,,,,,5.0,,0.0,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,0.195438123,30–44,$35k–$74k,Bachelor's,,,0.0,
1232,28,Female,Completed graduate degree(s),"$100,000 to $124,999",Not employed but looking for work,"No, I'm not employed",,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,Yes,Yes,0.279905088,18–29,$75k–$124k,Graduate degree,,,,
1233,30,Female,Completed graduate degree(s),"$35,000 to $49,999",Employed full time,"Yes, working full-time",Something else,,No,,Yes,5.0,Yes,Once/week,5.0,Private vehicle,10.0,3.0,Decreased somewhat,More distractions at home,Not selected,There are too many concerns on my mind to be able to focus fully on work,,,5.0,0.0,0.0,0.0,0.0,0.5,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,0.195438123,30–44,$35k–$74k,Graduate degree,,1.0,-1.0,
1234,34,Female,Some college or technical school,"$75,000 to $99,999",Employed full time,"Yes, working full-time",Sales or service,,Yes,A few times/year,Yes,5.0,Yes,Once/week,5.0,Private vehicle,15.0,5.0,In some ways it has increased and in other ways it has decreased,Not selected,Not selected,Not selected,Not selected,No commuting time,5.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,0.456933287,30–44,$75k–$124k,Some college,0.1,1.0,0.0,Sales/Service
1235,57,Female,Bachelor's degree(s) or some graduate school,"$25,000 to $34,999","Not employed and not looking for work, including retired","No, I'm not employed",,,,,,,,,,,,,,,,,,,5.0,0.5,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,-2.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,0.15916519,45–59,Under $35k,Bachelor's,,,,
1236,43,Female,Completed high school or GED,"$75,000 to $99,999",Employed full time,"Yes, working full-time",Clerical or administrative support,,No,,Yes,5.0,No,,5.0,Private vehicle,20.0,4.0,Decreased somewhat,More distractions at home,Not selected,There are too many concerns on my mind to be able to focus fully on work,,,5.0,0.0,0.0,0.0,0.0,0.5,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,Yes,No,2.3924560715200003,30–44,$75k–$124k,High school or less,,,-1.0,Clerical/Admin
1237,36,Male,Some college or technical school,"$50,000 to $74,999",Employed part time,"Yes, working part-time or reduced hours","Professional, managerial, or technical",,Yes,A few times/year,Yes,1.0,Yes,Once/week,1.0,Private vehicle,15.0,3.0,Decreased somewhat,Not selected,Not selected,Not selected,,,5.0,0.1,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,,Yes,No,1.188322746,30–44,$35k–$74k,Some college,0.1,1.0,-1.0,Professional/Manager
1238,54,Female,Completed graduate degree(s),"$50,000 to $74,999",Employed full time,"Yes, working full-time",,,No,,No,,No,,5.0,Private vehicle,30.0,20.0,Increased somewhat,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,0.400613325,45–59,$35k–$74k,Graduate degree,,,1.0,
1239,58,Male,Completed graduate degree(s),"$50,000 to $74,999",Not employed but looking for work,"No, I'm not employed",,,,,,,,,,,,,,,,,,,3.0,0.1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,-2.0,0.0,0.0,0.0,1.0,,,,,,,Yes,No,0.73367965,45–59,$35k–$74k,Graduate degree,,,,
1240,34,Female,Completed graduate degree(s),"$50,000 to $74,999",Employed part time,"Yes, working part-time or reduced hours",,,No,,Yes,2.0,No,,2.0,Private vehicle,20.0,7.6,About the same,,,,,,5.0,0.0,0.0,0.0,0.0,0.5,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,Yes,No,0.975480537,30–44,$35k–$74k,Graduate degree,,,0.0,
1241,60,Female,Bachelor's degree(s) or some graduate school,"$100,000 to $124,999","Not employed and not looking for work, including retired","No, I'm not employed",,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,Yes,Yes,1.0190928608499998,60–74,$75k–$124k,Bachelor's,,,,
1242,58,Female,Bachelor's degree(s) or some graduate school,"$50,000 to $74,999",Employed full time,"No, I'm not employed",,,No,,,,No,,5.0,Private vehicle,35.0,30.0,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,Yes,0.370597495,45–59,$35k–$74k,Bachelor's,,,,
1243,31,Female,Completed graduate degree(s),"$35,000 to $49,999",Employed full time,"Yes, working full-time",,,No,,Yes,7.0,No,,5.0,Private vehicle,20.0,15.0,About the same,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,0.762767391,30–44,$35k–$74k,Graduate degree,,,0.0,
1244,62,Female,Some college or technical school,"$35,000 to $49,999","Not employed and not looking for work, including retired","No, I'm not employed",,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.1,4.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,0.677989021,60–74,$35k–$74k,Some college,,,,
1245,43,Female,Completed graduate degree(s),"$100,000 to $124,999",Employed full time,"Yes, working full-time",,,No,,No,,No,,3.0,Private vehicle,20.0,7.6,About the same,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,Yes,0.736837299,30–44,$75k–$124k,Graduate degree,,,0.0,
1246,32,Female,Bachelor's degree(s) or some graduate school,"$75,000 to $99,999",Employed full time,"Yes, working full-time","Professional, managerial, or technical",,Yes,A few times/week,Yes,7.0,Yes,Every day,2.0,Private vehicle,7.0,2.0,Increased somewhat,,,,Not selected,No commuting time,5.0,0.1,0.1,0.0,0.1,5.0,3.0,0.0,0.0,0.0,0.0,7.0,-1.0,-2.0,-2.0,0.0,0.0,0.0,Not selected,Not selected,Not selected,,,,Yes,No,0.195438123,30–44,$75k–$124k,Bachelor's,3.0,5.0,1.0,Professional/Manager
1247,59,Male,Completed graduate degree(s),"$100,000 to $124,999",Employed full time,"Yes, working full-time","Professional, managerial, or technical","Professional, managerial, or technical",No,,Yes,7.0,No,,7.0,Transit,60.0,9.0,Decreased significantly,Not selected,Not selected,Not selected,,,3.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,0.7511583009649999,45–59,$75k–$124k,Graduate degree,,,-2.0,Professional/Manager
1248,53,Female,Some college or technical school,"$200,000 or more","Not employed and not looking for work, including retired","No, I'm not employed",,,,,,,,,,,,,,,,,,,5.0,3.0,3.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,,1.0,,,,,,,Yes,No,1.5768153985799995,45–59,$125k+,Some college,,,,
1249,68,Female,Completed graduate degree(s),"$200,000 or more",Employed full time,"Yes, working part-time or reduced hours","Professional, managerial, or technical",,Yes,Every day,Yes,7.0,Yes,Every day,0.0,,,0.0,In some ways it has increased and in other ways it has decreased,Not selected,Not selected,There are too many concerns on my mind to be able to focus fully on work,Not selected,Not selected,5.0,0.1,0.1,0.1,0.0,0.5,5.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,Yes,Yes,0.59452721,60–74,$125k+,Graduate degree,5.0,5.0,0.0,Professional/Manager
1251,24,Female,Bachelor's degree(s) or some graduate school,"$125,000 to $149,999",Employed part time,"No, I'm furloughed without pay",,,No,,,,No,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,1.092430027,18–29,$125k+,Bachelor's,,,,
1253,34,Female,Bachelor's degree(s) or some graduate school,"$75,000 to $99,999",Employed full time,"Yes, working full-time",,,Yes,A few times/week,Yes,7.0,Yes,A few times/week,3.0,Private vehicle,,,In some ways it has increased and in other ways it has decreased,More distractions at home,Not selected,Not selected,Not selected,No commuting time,5.0,0.0,0.0,0.0,0.0,3.0,5.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,Yes,0.437682975,30–44,$75k–$124k,Bachelor's,3.0,3.0,0.0,
1254,36,Female,Completed graduate degree(s),"$150,000 to $199,999",Employed full time,"Yes, working full-time",,,Yes,Once/week,Yes,5.0,Yes,Once/week,4.0,Private vehicle,60.0,40.0,Decreased somewhat,More distractions at home,Not selected,Not selected,,,5.0,0.1,0.0,0.0,0.1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-2.0,0.0,,,,,,,Yes,No,0.950933941,30–44,$125k+,Graduate degree,1.0,1.0,-1.0,
1255,45,Male,Some college or technical school,"$100,000 to $124,999",Employed full time,"Yes, working part-time or reduced hours","Professional, managerial, or technical",,Yes,Once/week,Yes,4.0,Yes,Once/week,4.0,Private vehicle,25.0,20.0,Decreased significantly,More distractions at home,Not selected,There are too many concerns on my mind to be able to focus fully on work,,,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,4.412704164040001,45–59,$75k–$124k,Some college,1.0,1.0,-2.0,Professional/Manager
1256,30,Female,Some college or technical school,"$200,000 or more",Employed full time,"Yes, working part-time or reduced hours",,,No,,No,,No,,4.0,Private vehicle,30.0,10.0,Decreased significantly,,,,,,5.0,0.1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,1.722721669,30–44,$125k+,Some college,,,-2.0,
1257,68,Male,Completed graduate degree(s),"$200,000 or more",Employed full time,"Yes, working part-time or reduced hours",,,No,,No,,No,,5.0,Private vehicle,25.0,7.0,Decreased significantly,,,,,,5.0,0.1,0.1,0.1,0.0,0.5,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,Yes,Yes,1.07093319,60–74,$125k+,Graduate degree,,,-2.0,
